participante	idade	sexo	contexto	concordancia
J	24	Feminino	aula	concorda
J	24	Feminino	espont‰nea	nconcorda
ACAM	22	Feminino	espont‰nea	nconcorda
ACAM	22	Feminino	espont‰nea	concorda
ACAM	22	Feminino	aula	concorda
ACAM	22	Feminino	aula	concorda
ACAM	22	Feminino	aula	concorda
ACAM	22	Feminino	aula	concorda
ACAM	22	Feminino	espont‰nea	concorda
ACAM	22	Feminino	espont‰nea	concorda
ACAM	22	Feminino	espont‰nea	nconcorda
AAS	30	Feminino	aula	concorda
DVM	27	Feminino	aula	concorda
GR	23	Masculino	aula	concorda
AAS	30	Feminino	aula	concorda
DVM	27	Feminino	aula	concorda
GR	23	Masculino	aula	concorda
AAS	30	Feminino	espont‰nea	concorda
DVM	27	Feminino	espont‰nea	concorda
GR	23	Masculino	espont‰nea	nconcorda
AAS	30	Feminino	aula	concorda
GR	23	Masculino	aula	concorda
AAS	30	Feminino	espont‰nea	nconcorda
DVM	27	Feminino	espont‰nea	nconcorda
GR	23	Masculino	espont‰nea	nconcorda
AAS	30	Feminino	espont‰nea	nconcorda
DVM	27	Feminino	espont‰nea	nconcorda
GR	23	Masculino	espont‰nea	nconcorda
AAS	30	Feminino	espont‰nea	concorda
DVM	27	Feminino	espont‰nea	nconcorda
GR	23	Masculino	espont‰nea	nconcorda
AAS	30	Feminino	aula	concorda
DVM	27	Feminino	aula	concorda
GR	23	Masculino	aula	concorda
AAS	30	Feminino	aula	concorda
DVM	27	Feminino	aula	concorda
GR	23	Masculino	aula	concorda
Jl	25	Feminino	espont‰nea	concorda
AS	28	Feminino	espont‰nea	nconcorda
Jl	25	Feminino	aula	nconcorda
AS	28	Feminino	aula	concorda
ALMS	26	Feminino	aula	concorda
Jl	25	Feminino	espont‰nea	nconcorda
AS	28	Feminino	espont‰nea	concorda
ALMS	26	Feminino	espont‰nea	nconcorda
Jl	25	Feminino	espont‰nea	nconcorda
AS	28	Feminino	espont‰nea	nconcorda
ALMS	26	Feminino	espont‰nea	nconcorda
Jl	25	Feminino	aula	concorda
AS	28	Feminino	aula	nconcorda
ALMS	26	Feminino	aula	concorda
Jl	25	Feminino	aula	nconcorda
AS	28	Feminino	aula	nconcorda
ALMS	26	Feminino	aula	concorda
Jl	25	Feminino	espont‰nea	nconcorda
AS	28	Feminino	espont‰nea	nconcorda
Jl	25	Feminino	aula	concorda
ALMS	26	Feminino	aula	concorda
Jl	25	Feminino	aula	concorda
AS	28	Feminino	aula	concorda
ALMS	26	Feminino	aula	nconcorda
BC	22	Feminino	espont‰nea	nconcorda
BC	22	Feminino	aula	concorda
BC	22	Feminino	aula	concorda
BC	22	Feminino	espont‰nea	nconcorda
BC	22	Feminino	espont‰nea	nconcorda
BC	22	Feminino	aula	concorda
BC	22	Feminino	espont‰nea	nconcorda
BC	22	Feminino	aula	concorda
BC	22	Feminino	aula	concorda
JCM	23	Feminino	espont‰nea	nconcorda
JCM	23	Feminino	aula	concorda
JCM	23	Feminino	aula	concorda
JCM	23	Feminino	espont‰nea	nconcorda
JCM	23	Feminino	espont‰nea	nconcorda
JCM	23	Feminino	aula	concorda
JCM	23	Feminino	espont‰nea	nconcorda
LPVS	24	Feminino	aula	nconcorda
ACS	29	Feminino	aula	nconcorda
LPVS	24	Feminino	espont‰nea	nconcorda
ACS	29	Feminino	espont‰nea	nconcorda
LPVS	24	Feminino	espont‰nea	nconcorda
LPVS	24	Feminino	aula	concorda
ACS	29	Feminino	aula	concorda
LPVS	24	Feminino	espont‰nea	nconcorda
ACS	29	Feminino	espont‰nea	nconcorda
LPVS	24	Feminino	espont‰nea	nconcorda
ACS	29	Feminino	espont‰nea	nconcorda
LPVS	24	Feminino	aula	concorda
ACS	29	Feminino	aula	concorda
JM	20	Masculino	aula	concorda
JM	20	Masculino	aula	concorda
JM	20	Masculino	espont‰nea	nconcorda
JM	20	Masculino	aula	concorda
JM	20	Masculino	espont‰nea	concorda
JM	20	Masculino	aula	concorda
JM	20	Masculino	espont‰nea	nconcorda
LMR	21	Feminino	aula	concorda
Amanda	26	Feminino	aula	concorda
LMR	21	Feminino	aula	concorda
LMR	21	Feminino	aula	nconcorda
Amanda	26	Feminino	aula	concorda
LMR	21	Feminino	espont‰nea	nconcorda
Amanda	26	Feminino	espont‰nea	concorda
LMR	21	Feminino	espont‰nea	nconcorda
Amanda	26	Feminino	espont‰nea	nconcorda
